custom-questions-none-error,admin,"You have no custom questions on your login form.","You have no custom questions on your login form.",,,,
dashboard,admin,Dashboard,Dashboard,"Tableau de bord",Salpicadero,,
dashboard-desc,admin,"Dashboard showing a summary of this Site","Dashboard showing a summary of this Site","Ce est le tableau de bord d'administration montrant tous les widgets","Dashboard que muestra un resumen de este lugar",,
dashboard-help,admin,"Click on the links to the left to navigate the system or click on your email above to manage any admin users. Below are widgets showing information about your Site, click on any widget for more information.","Click on the links to the left to navigate the system or click on your email above to manage any admin users. Below are widgets showing information about your Site, click on any widget for more information.",NULL,"Haga clic en los enlaces de la izquierda para navegar por el sistema o haga clic en su correo electrnico anterior para gestionar cualquier usuario de administrador . A continuacin se presentan los widgets que muestran informacin sobre su lugar , haga clic en cualquier control para obtener ms informacin .",,
data,admin,Data,Data,,,,
datatable-aria-sortAscending,admin,": activate to sort column ascending",": activate to sort column ascending",": Activer pour trier la colonne ascendante",": activar para ordenar ascendente columna",,
datatable-aria-sortDescending,admin,": activate to sort column descending",": activate to sort column descending",": Activer la colonne pour trier descendant",,,
datatable-emptyTable,admin,"Empty table","Empty table","Table vide",": activar para ordenar la columna descendente",,
datatable-info,admin,"Showing _START_ to _END_ of _TOTAL_","Showing _START_ to _END_ of _TOTAL_","Affichage _START_  _END_ de _TOTAL_","Demostracin _START_ to _END_ of _TOTAL_",,
datatable-infoEmpty,admin,"0 Results","1 Results",RÃ‡Â¸sultats,"0 Resultados",,
datatable-infoFiltered,admin,"Filtered from","Filtered from","FiltrÃ‡Â¸  partir de","Filtrado de",,
datatable-infoPostFix,admin,entries,entries,entrÃ‡Â¸es,entradas,,
datatable-infoThousands,admin,",",",",",",",",,
datatable-lengthMenu,admin,Show,Show,"Voir les",Show,,
datatable-loadingRecords,admin,Loading...,Loading...,Chargement...,Cargando...,,
datatable-paginate-first,admin,First,First,<<,<<,,
datatable-paginate-last,admin,Last,Last,>>,>>,,
datatable-paginate-next,admin,Next,Next,>,>,,
datatable-paginate-previous,admin,Previous,Previous,<,<,,
datatable-processing,admin,Processing...,Processing...,"Traitement en cours...",Procesamiento...,,
datatable-search,admin,Search,Search,Recherche,Bsqueda,,
datatable-zeroRecords,admin,"No results","No results","Aucun rÃ‡Â¸sultat","Sin resultados",,
date-from,admin,"Date From","Date From",,"Fecha Desde",,
date-to,admin,"Date to","Date to",,"Hasta la fecha",,
dates,admin,Dates,Dates,Dates,Fechas,,
de,admin,German,German,Allemand,Alemán,Deutsch,الألمانية
de-activate,admin,de-Activate,de-Activate,,,,
de-register,admin,De-register,De-register,,De-registro,,
de-register-desc,admin,"Disconnect the Gateway :ip from the Site :site","Disconnect the Gateway :ip from the Site :site",,"Disconect la puerta de enlace :ip del Lugar :site",,
de-register-sure,admin,"Are you sure you want to de-register?<br>This will stop this Site working and cannot be undone.","Are you sure you want to de-register?<br>This will stop this Site working and cannot be undone.",,"Â¿Seguro que quieres dar de baja ?<br>Dejara este lugar de trabajo y no se puede deshacer.",,
default-widgets,admin,"Default Widgets","Default Widgets",,,,
delay-time,admin,"Delay Time","Delay Time",,"Tiempo de retardo",,
delay-time-help,admin,"The number of minutes a guest can browse until presented with another AdJet","The number of minutes a guest can browse until presented with another AdJet",,"El numero de minutos que un huesped puede navegar hasta su presentacion con otra Adjet",,
delete,admin,Delete,Delete,,,,
delete-all,admin,"Delete All","Delete All",,"Eliminar Todos",,
delete-permissions,admin,"Delete Permissions","Delete Permissions",,"Eliminar Permisos",,
delete-sure,admin,"Are you sure you want to delete :thing?","Are you sure you want to delete :thing?",,"Estas seguro que quieres borrarlo :thing?",,
delete-translations,admin,"Delete Translations","Delete Translations",,"Eliminar Traducciones",,
deleted,admin,Deleted,Deleted,,Suprimido,,
deleted-successfully,admin,"deleted successfully","deleted successfully",,"eliminado correctamente",,
demographics,admin,Demographics,Demographics,,,,
description,admin,Description,Description,Description,Descripcin,,
description-help,admin,"Enter a description to help identify the AdJet. Cannot be over 1024 characters","Enter a description to help identify the AdJet. Cannot be over 1024 characters",,"Introduzca una descripcin para ayudar a identificar la Adjet . No se puede ser ms de 1024 caracteres",,
description-placeholder,admin,"Enter a description for the AdJet","Enter a description for the AdJet",,"Introduzca una descripcin para el Adjet",,
dev-tools,admin,"Dev Tools",,,,,
device,admin,Device,Device,,,,
dimensions-exactly-error,admin,"Image dimensions must be :width X :height exactly","Image dimensions must be :width X :height exactly",,"Dimensiones de la imagen deben :width X :height exactamente",,
done,admin,Done!,Done!,,,,
down-on-yesterday,admin,"Down on previous","Down on previous",,"Abajo en el ayer",,
download,admin,Download,Download,TÃ‡Â¸lÃ‡Â¸charger,Descargar,,
download-csv,admin,"Download the CSV","Download the CSV",,"Descarga CSV",,
download-k,admin,"k Download","k Download",NULL,"k Descargar",,
download-mb,admin,"Mb Download","Mb Download",NULL,"Mb Descargar",,
duration,admin,Repeat,Repeat,,Duracin,,
duration-help,admin,"The number of minutes a guest can browse after closing ad, before it shows again","The number of minutes a guest can browse after closing ad, before it shows again",,"El nmero de minutos que un huesped puede ver despues del cierre del anuncio, antes de que aparezca de nuevo",,
edit,admin,Edit,Edit,,,,
edit-site-desc,"admin ","Editing an existing Site","Editing an existing Site",,,,
edit-site-title,admin,"Edit Site","Edit Site",,,,
edit-widgets,admin,"Edit Widgets","Edit Widgets",,,,
element,admin,Element,Element,,Elemento,,
email,portal,Email,Email,,,,
email-address,portal,"Email Address","Email Address",,,,
email-address-help,admin,"Please enter the email address you registered with.","Please enter the email address you registered with.",,"Por favor, introduzca la direccion de correo electrnico que se registro.",,
email-address-placeholder,admin,"Must be a valid email address","Must be a valid email address",,"Debe ser una direccion valida de correo electronico",,
email-copyright,admin,"Copyright :name :year. All Rights Reserved. Sent from :name Version :version","Copyright :name :year. All Rights Reserved. Sent from :name Version :version",,"Derechos de autor :year . Todos Los Derechos Reservados. Enviado desde VersiÃ³n :version",,
email-login-description,admin,"Please enter your details below to log into the guest internet or click on a social provider to login.","Please enter your details below to log into the guest internet or click on a social provider to login.",,,,
email-password-link-sent,admin,"Reset password email sent to :email",,,,,
email-password-reset-desc,admin,"Send a link to your email address","Send a link to your email address",,"Enviar un enlace a su direcciÃ³n de correo electrÃ³nico",,
email-password-reset-extra,admin,"Please click the link or paste it into your browser then fill in the form.<br>
If you did not request a password reset please disregard this email.","Please click the link or paste it into your browser then fill in the form.<br>
If you did not request a password reset please disregard this email.",,"Por favor, haga clic en el vÃ­nculo o pÃ©guelo en su navegador y rellenar el formulario.<br>
Si no has solicitado un restablecimiento de contraseÃ±a haga caso omiso de este mensaje .",,
email-password-reset-form-title,admin,"Forgot Password",,,,,
email-password-reset-help,admin,"Enter the email address you login with in the box below.<br>
    An email will be sent to this address with a link to change your password.","Enter the email address you login with in the box below.<br>
    An email will be sent to this address with a link to change your password.",,"Introduzca la direcciÃ³n de correo electrÃ³nico que se conecte con la caja de abajo .<br>Un correo electrÃ³nico serÃ¡ enviado a esta direcciÃ³n con un enlace para cambiar su contraseÃ±a .",,
email-password-reset-message,admin,"Below is the link to reset your password","Below is the link to reset your password",,"A continuaciÃ³n se muestra el enlace para restablecer tu contraseÃ±a",,
email-password-reset-no-account,admin,":email does not have an account with us",,,,,
email-social-description,admin,"Please enter your details below to log into the guest internet or click on a social provider to login.","Please enter your details below to log into the guest internet or click on a social provider to login.",,,,
email-welcome-extra,admin,"<p>You can get summaries of your data using the :name <a style=""text-decoration:none"" href=""http://login.wifimanager.co.uk/"">Dashboard</a> and check the <a style=""text-decoration:none"" href=""http://login.wifimanager.co.uk/reports/guests"">guest reports</a> for full information.</p><p>You'll need to set up some basic speed settings on your <a style=""text-decoration:none"" href=""http://login.wifimanager.co.uk/gateways/edit"">Gateway</a>, and if you're planning on charging you'll need to setup pricing too. To help there is a speed test you can run from your <a style=""text-decoration:none"" href=""http://login.wifimanager.co.uk/"">Dashboard</a> so you know you don't give your guests too much... or too little!</p><p>You can start to set up your ads and menus now using the MyAirangel <a style=""text-decoration:none"" href=""http://login.wifimanager.co.uk/adjets/create"">AdJets</a> system and can create banners, videos, surveys, forms but for custom AdJets please <a href=""mailto:pricing@wifimanager.co.uk"">contact us</a> about pricing</p><p>If you need any help with the system, just check the little ? for hints, click the large ? in the top right of any page for help on how to use that page or choose the full online <a style=""text-decoration:none"" href=""http://login.wifimanager.co.uk/help"">Help</a> at the bottom of the main menu to see what the system can do.</p>","<p>You can get summaries of your data using the :name <a style=""text-decoration:none"" href=""http://login.wifimanager.co.uk/"">Dashboard</a> and check the <a style=""text-decoration:none"" href=""http://login.wifimanager.co.uk/reports/guests"">guest reports</a> for full information.</p><p>You'll need to set up some basic speed settings on your <a style=""text-decoration:none"" href=""http://login.wifimanager.co.uk/gateways/edit"">Gateway</a>, and if you're planning on charging you'll need to setup pricing too. To help there is a speed test you can run from your <a style=""text-decoration:none"" href=""http://login.wifimanager.co.uk/"">Dashboard</a> so you know you don't give your guests too much... or too little!</p><p>You can start to set up your ads and menus now using the MyAirangel <a style=""text-decoration:none"" href=""http://login.wifimanager.co.uk/adjets/create"">AdJets</a> system and can create banners, videos, surveys, forms but for custom AdJets please <a href=""mailto:pricing@wifimanager.co.uk"">contact us</a> about pricing</p><p>If you need any help with the system, just check the little ? for hints, click the large ? in the top right of any page for help on how to use that page or choose the full online <a style=""text-decoration:none"" href=""http://login.wifimanager.co.uk/help"">Help</a> at the bottom of the main menu to see what the system can do.</p>",,,,
email-welcome-message,admin,"You are now registered to the :name system","You are now registered to the :name system",,,,
email-welcome-strapline,admin,"Tailor made Guest WiFi Solutions for Hotels & Retail","Tailor made Guest WiFi Solutions for Hotels & Retail",,"Viajes a medida Soluciones Invitado WiFi para hoteles y al por menor",,
email-welcome-title,admin,"Welcome to :name","Welcome to :name",,,,
en,admin,English,English,Anglais,Inglés,Englisch,الإنجليزية
en_GB,admin,English,English,Anglais,Inglés,Englisch,الإنجليزية
engagement,admin,Engagement,Engagement,,,,
engagements,admin,Engagements,Engagements,,,,
english-british,admin,"English (British)","English (British)","Anglais (Britannique)","Ingls ( britnico )",,
english-international,admin,"English (International)","English (International)","Anglais (International)","Ingls (internacional )",,
enter-url,admin,"Enter a URL","Enter a URL",,"Introduzca una URL",,
error,admin,Error,Error,Erreur,Error,,
error-candengo-100-no-functionality,admin,"Sorry, this functionality is not available for Candengo 100s.<br>Please see your account manager about an upgrade.","Sorry, this functionality is not available for Candengo 100s.<br>Please see your account manager about an upgrade.",,,,
error-cant-find-token,admin,"Could not find you so we cannot reset your password. Your token expires after 24 hours so it may have expired. Please reset your password again.","Could not find you so we cannot reset your password. Your token expires after 24 hours so it may have expired. Please reset your password again.",,"No se pudo encontrar que lo que no puede restablecer su contrasena . Su contador expira despues de 24 horas por lo que puede haber expirado. Por favor, restablecer la contrasena de nuevo.",,
error-no-access,admin,"You do not have access to do this","You do not have access to do this","Vous ne avez pas accs  le faire","Usted no tiene acceso a ello",,
error-no-id,admin,"There is no ID to change, please try again.","There is no ID to change, please try again.","Il n'y a aucune ID de changer, se il vous plaÃ‡Â©t essayer  nouveau.","No hay ID de cambiar, por favor intente de nuevo.",,
error-no-roles,admin,"There are no Roles, please create some.","There are no Roles, please create some.",,"No hay roles, por favor crear alguna.",,
error-note-delete-no-id,admin,"Cannot delete a note without an ID","Cannot delete a note without an ID","Vous ne pouvez pas supprimer une note sans ID","No se puede eliminar una nota sin un ID",,
error-password-not-match,admin,"The passwords do not match for so no changes have been saved.","The passwords do not match for so no changes have been saved.","Les mots de passe ne correspondent pas donc pas de changements ont Ã‡Â¸tÃ‡Â¸ enregistrÃ‡Â¸s ","Las contraseas no coinciden por lo que no hay cambios se han guardado.",,
error-permissions-create,admin,"Cannot empty the permissions","Cannot empty the permissions","Impossible de vider les autorisations","No se puede vaciar los permisos",,
error-profile-loggedin,admin,"You must be logged in to see your profile.","You must be logged in to see your profile.","Vous devez Ã‡Â¦tre connectÃ‡Â¸ pour voir votre profil.","Debes estar registrado para ver su perfil .",,
error-role-delete-id,admin,"You cannot delete a role without passing in an ID","You cannot delete a role without passing in an ID","Vous ne pouvez pas supprimer un rle sans passer dans un ID","No se puede eliminar un papel sin pasar de un ID",,
error-role-edit-id,admin,"You need an id to edit a role","You need an id to edit a role","Vous avez besoin d'un ID de modifier un rle","Es necesario un id de editar un papel",,
error-saving,admin,"Error Saving!","Error Saving!",,,,
error-template-id,admin,"You must pass the ID of a Template","You must pass the ID of a Template","Vous devez transmettre l'ID d'un modle","Debe pasar el ID de una plantilla",,
es,admin,Spanish,Spanish,Espanol,Español,Spanisch,الأسبانية
estate,admin,Estate,Estate,,,,
europe-london,admin,Europe/London,Europe/London,Europe/Londres,"Europe / London",,
events,admin,Events,Events,,,,
exists,admin,":thing exists, please try again.",":thing exists, please try again.",,":thing existe, por favor vuelva a intentarlo.",,
expiry-date,admin,"Expiry date","Expiry date","Date d'expiration","Fecha de caducidad",,
extra-info,admin,"Extra Information","Extra Information",,,,
extra-settings-toggle,admin,"Extra settings toggle","Extra settings toggle",,,,
facebook-profile-image,admin,"Facebook profile image","Facebook profile image",,"Facebook Imagen de perfil",,
failed-site-save,admin,"Failed to save site","Failed to save site",,,,
file-select,admin,"Select file","Select file",,"Seleccione Archivo",,
filter,admin,Filter,Filter,,Filtro,,
finance,admin,Finance,Finance,,,,
financial,admin,Financial,Financial,Financier,Financiero,,
financial-report-desc,admin,"Financial report for this site","Financial report for this site","Rapport financier pour ce site","Informe financiero correspondiente a este lugar",,
form-element-rule-default-placeholder,admin,"The default that will be automatically entered in this field","The default that will be automatically entered in this field",,"El defecto que se introduce automÃ¡ticamente en este campo",,
form-element-rule-default-title,admin,Default,Default,,Defecto,,
form-element-rule-desc,admin,"Optionally restrict the guest on this field, for more info see <a href=""http://www.w3schools.com/html/html_form_attributes.asp"" target=""_blank"">W3Schools</a> page","Optionally restrict the guest on this field, for more info see <a href=""http://www.w3schools.com/html/html_form_attributes.asp"" target=""_blank"">W3Schools</a> page",,"Opcionalmente restringir el invitado en este campo , para mÃ¡s informaciÃ³n ver <a href=""http://www.w3schools.com/html/html_form_attributes.asp"" target=""_blank"">W3Schools</a> pÃ¡gina",,
form-element-rule-help,admin,"These are the rules for this form element. E.g. Tick required and the Guest will be required to fill this form element in.","These are the rules for this form element. E.g. Tick required and the Guest will be required to fill this form element in.",,"Estas son las reglas de este elemento de formulario . Por ejemplo Tick ??requerido y el cliente tendrÃ¡ que llenar este elemento de formulario en .",,
form-element-rule-max-placeholder,admin,"Maximum number that can be entered","Maximum number that can be entered",,"El nÃºmero mÃ¡ximo que se puede introducir",,
form-element-rule-max-title,admin,Maximum,Maximum,,MÃ¡ximo,,
form-element-rule-maxlength-placeholder,admin,"Maximum characters that can be entered for this field","Maximum characters that can be entered for this field",,"NÃºmero mÃ¡ximo de caracteres que se pueden introducir para este campo",,
form-element-rule-maxlength-title,admin,"Maximum Length","Maximum Length",,"Longitud mÃ¡xima",,
form-element-rule-min-placeholder,admin,"Minimum number that can be entered","Minimum number that can be entered",,"NÃºmero mÃ­nimo que se puede introducir",,
form-element-rule-min-title,admin,Minimum,Minimum,,MÃ­nimo,,
form-element-rule-pattern-placeholder,admin,"Enter a regX pattern","Enter a regX pattern",,"Introduzca un patrÃ³n regX",,
form-element-rule-pattern-title,admin,Pattern,Pattern,,PatrÃ³n,,
form-element-rule-required-placeholder,admin,"Is this field required","Is this field required",,"Este campo es obligatorio",,
form-element-rule-required-title,admin,Required?,Required?,,Requerido?,,
form-element-rule-title,admin,Rules,Rules,,Reglas,,
fr,admin,French,French,Français,Francés,Französisch,الفرنسية
free-guests-title,admin,"Free Guests","Free Guests",,"Gratis huespedes",,
french,admin,French,French,Franais,Francs,,
gateway,admin,Gateway,Gateway,NULL,Entrada,,
gateway-add,admin,"Gateway Create","Gateway Create",NULL,"Pasarela Crear",,
gateway-add-desc,admin,"Add a gateway to the system for a user to add to a site","Add a gateway to the system for a user to add to a site",NULL,"Aadir una puerta de entrada al sistema para un usuario para aadir a un lugar",,
gateway-add-ip-help,admin,"Add an IP for this Gateway","Add an IP for this Gateway",,"Anadir una IP para esta puerta de enlace",,
gateway-add-ip-placeholder,admin,"e.g. 0.0.0.0","e.g. 0.0.0.1",,"por ejemplo 0.0.0.0",,
gateway-advanced-warning,admin,"WARNING: These settings could break the Site","WARNING: These settings could break the Site",NULL,"ADVERTENCIA : Estos ajustes podran romper el Lugar",,
gateway-de-register-success,admin,"The Gateway with the IP :ip has been successfully de-registered","The Gateway with the IP :ip has been successfully de-registered",,"La puerta de enlace con el IP :ip ha sido registrado con exito",,
gateway-delete,admin,"Delete Gateway","Delete Gateway",NULL,"Eliminar de Gateway",,
gateway-delete-desc,admin,"Are you sure you want to delete the Gateway?","Are you sure you want to delete the Gateway?",NULL,"Seguro que quieres eliminar el Gateway?",,
gateway-desc,admin,"Table of gateways for this Site","Table of gateways for this Site",NULL,"Tabla de puertas de enlace de este lugar",,
gateway-edit,admin,"Edit Gateway","Edit Gateway",NULL,"Editar pasarela",,
gateway-edit-desc,admin,"Change your gateway and save the form","Change your gateway and save the form",NULL,"Cambie su puerta de enlace y guarde el formulario",,
gateway-edit-hardware-fail,admin,"The gateway hardware could not be updated, please make sure it is plugged in and available. To do this click Dashboard on the main menu and check if guests are online.","The gateway hardware could not be updated, please make sure it is plugged in and available. To do this click Dashboard on the main menu and check if guests are online.",,,,
gateway-edit-no-access,admin,"You have tried to edit a gateway you do not have access to.","You have tried to edit a gateway you do not have access to.",NULL,"Ha intentado editar una puerta de enlace que no tiene acceso.",,
